id,author,name,image,text,ingredients,tags,cooking_time
10,1,Блины на пиве,media/blins.jpg,Еще один рецепт блинов к Масленице. Пекли когда-то блины на пиве?.,"2182,1327,1033,1399,1559,1420","1,2",100
9,1,Гречка по-купечески!,media/grecha.jpeg,"Гречка ""А добавка будет?"". Если вы никогда не пробовали такой вариант гречки, бегом на кухню! Гречка по-купечески с мясным фаршем - вкусно, полезно и быстро.","347,1101,886,1053,435,1855,1685,252",1,60
8,5,Харчо,media/sup_harcho_iz_baranini-54574.jpg,"Скажу честно - харчо один из моих любимых супов, особенно с бараниной. Наверное, не одна особь мужского пола в этом мире не будет равнодушна к данному изделию, это я вам точно говорю. Мясные блюда - конек жителей востока, данный суп отличное тому подспорье. При всем этом суп харчо из баранины в домашних условиях, ничем не уступает ресторанному. Для того чтобы было именно так рекомендую следовать нашему пошаговому рецепту. Где же он? - спросите вы. Суп харчо из баранины с фото чуточку ниже. Подробнее: https://povar.ru/recipes/sup_harcho_iz_baraniny-10237.html","103,1441,886,2057,1342,435,252","1,4",85
7,5,Хинкали,media/hinc.jpg,"Если вы считаете, что хинкали – это большие пельмени, скорее приезжайте в Грузию. Это не просто блюдо – это целое искусство. Только представьте: мешочек из тонкого пресного теста, нежный фарш из свежего мяса с освежающей кинзой, душистый бульон. Чаще всего начинку делают из баранины или ее смеси с телятиной. Повара виртуозно формируют складочки и соблюдают баланс мяса с бульоном – это труднее, чем лепить пельмени. В ресторанах Грузии никогда не подают полуфабрикаты – готовят с нуля по домашнему рецепту. Спасайтесь бегством, если найдете заведение, в котором используют заморозку.
В Грузии заказывают хинкали поштучно. Они очень сытные: если вы «новичок», возьмите 5. Блюдо фантастически сочное, поэтому сметана или аджика будут лишними. Чтобы правильно съесть хинкали, подцепите его вилкой за крышечку. Надкусите основание, выпейте бульон. А затем наслаждайтесь «молочным» мясом и нежным тестом. Хвостики у хинкали не едят.","1399,252,280,886,1685,605,436",4,45
6,2,Плескавица,media/plesk.jpg,"Родина плескавицы - Сербия, именно оттуда это большая мясная котлета получила свою широкую популярность на Балканах. ""Пљескати"" в переводе с сербского - ""хлопать"", по сути - ""отбивать"". Свежий мясной фарш необходимо тщательно отбить, его приготовление чем-то напоминает приготовление фарша для люля-кебабов.","1101,886,2057,252,680,1239","2,4",50
5,2,Чивапчики,media/chivi.jpg,"Чевапчичи по-сербски – это настоящее угощенье народов Балканского полуострова. По виду это обыкновенные маленькие колбаски, которые готовятся из мясного фарша вместе со специями. В состав блюда обязательно должны входить два вида мяса. В основном это говядина и свинина. Такое угощение необходимо подавать к обеденному столу в горячем виде, так как остывшие колбаски становятся жестковатыми. Но главное – что все равно они остаются вкусными и ароматными.
","278,1586,886,2320,2183,1420,1744,1202",2,90
4,3,Мясо во французки(русская версия),media/franc.png,"Интересно, что это блюдо не имеет отношения к изысканной европейской кухне. Считается, что прототипом свинины по-французски является мясо по-орловски. Граф Орлов, страстный любитель охоты, любил лакомиться дичью, запеченной с грибами и сыром.
Советы по приготовлению блюда:

Мясо режут порционными кусками толщиной 1-2 см и отбивают молоточком с обеих сторон. Чтобы облегчить задачу, можно купить в супермаркете готовые стейки.
Чтобы снизить калорийность блюда, со свинины срезают жир.
Мясо натирают солью, молотым перцем, сухими итальянскими или прованскими травами. В некоторых случаях его замачивают в майонезе, соусе из аджики, лимонном соке или кетчупе.
Овощи натирают на крупной терке или нарезают соломкой. Картофель, лук и помидоры при желании можно нарезать тонкими кольцами.
Стейки можно предварительно обжарить на растительном масле с двух сторон до румяной корочки.
Мясо кладут на противень или в форму для запекания. Чтобы блюдо не подгорело, дно посуды застилают пергаментом.
Продукты выкладывают в такой последовательности: сначала свинину, затем овощи и грибы, а сверху сыр.
Блюдо отправляют в заранее разогретую духовку. Запекают мясо при температуре 180 °С 40-50 мин.
Угощение можно подать к столу с соусом из сметаны, томатов или сыра.

Свинина по-французски хорошо сочетается с зеленью, а также свежими или тушеными овощами.","1589,1751,1342,558,354,886","1,3",90
3,3,"Традиционный салат ""Оливье""",media/Oliv.jpg,"Традиционный салат ""Оливье"", без которого не обходится новогоднее праздничное застолье.","557,3322,3237,312,655,899,1685,2183","1,3",70
2,4,Сэндвич кубано,media/kubano.jpg,"Минутка истории. Кубинский сэндвич появился не на Кубе, а в штате Флорида. В конце XIX века люди из Кубы ездили в США также, как москвичи в Питер. Где именно появился сэндвич впервые неизвестно, западный и южный регионы штата говорят, что впервые cubanos приготовили у них.

Это очень сытная и относительно недорогая штука, особенно в опте. Фоном выступает мягкий вкус сыра и ветчины, с ним отлично контрастирует сочетание кислоты и остроты горчицы, маринованных огурцов и цитрусовых ноток в свинине. Дешевизна, простота в приготовлении и отличные вкусовые качества позволили кубинскому сэндвичу стать одним из самых популярных на западном побережье США","3231,2358,855,2057,1287,208,1163,1238",5,60
1,4,Кесадилья,media/kesa.jpg,"блюдо мексиканской кухни, состоящее из пшеничной или кукурузной тортильи, наполненной сыром.

Для приготовления кесадильи тортилья складывается пополам, наполняется сыром и обжаривается на жару либо во фритюре до полного расплавления сыра. Традиционно в кесадилье в качестве начинки используется только сыр. Также возможно добавление в начинку мяса, чоризо, овощей, грибов, картофеля и прочих ингредиентов. В качестве распространённого гарнира к блюду могут подаваться овощной салат, гуакамоле, перец чили, кориандр и сальса.","3620,197,1342,1142,436,1688,7","2,5",25
